,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Investment Properties, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,Cash Dividends and Interest Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
ROC (Joel Greenblatt) %,-0.011793684758854136,-0.03391367059471481,0.08469355774407306,0.11772458146233336,-0.019001803150702514,0.02527911331640362,0.028168022695557154,0.0037524606837132054,-0.023417885780182366,-0.014654262117618376,0.0042447732947232045,-0.006640096418533258,-0.030598996602026966,0.011062545514851335,0.007143859609750964,0.009581173368803927,0.02804842260715909,0.031035220645639624,0.0304655816672682,0.042222150705831955,0.04856787620119992,-0.006436140501638258,0.001254201876652307,0.043070797504981204,0.0009407812647723715,0.00143234748961738,0.0350412143488372,0.05552689313173096,0.04950864882851263,0.022414671522943276,0.05182705478139977,-0.004428829356879018,0.11040743114984794,0.11864103261006494,0.014125377363742763,0.019790783453949055,0.015111968890176177,0.013258712019070012,0.010060508771743195,0.010109579522606545,0.038369094077414644,-0.016268646564279836,-0.026114369989103756,0.08623212821889313,0.09089390515521477,0.04978366679058659,-0.017392234974887726,0.12478360033032176,0.11141512316240945,0.02046923292122453,0.021909497044729054,0.0009157665840599767,-0.016737899250911265,-0.003449232860435281,0.0997123377541068,-0.028807903171132028,0.0026348312705521846,0.002572877456790676,0.02681454543585627,-0.016931954345441314
ROCE %,-0.023505169362883334,-0.024019375943555757,0.013133712920372445,0.05766962774974678,-0.007500607802692353,0.02455131747966636,-0.029867057007684383,-0.026711859732207303,-0.0505452747345998,-0.04931194340298053,-0.03319380142453879,-0.021135725393846463,-0.02432535099823626,-0.011787085637572145,-0.015037240008038764,-0.015446418330739363,0.02976311364249127,0.027085216235783548,0.02612437297082227,0.00767973678924249,0.0249726892787816,-0.009742631995948634,-0.013073846884127344,0.023793923479275062,-0.01710511425104986,0.020000222544367022,0.00956633860804592,0.041636532149490285,0.0455018443341932,0.03715269363450692,0.03677210802393767,0.020934990960861346,0.03332100818739084,0.044966957572852365,-0.022771693968120666,-0.021619336031983294,-0.01971236598138277,-0.01909744150704407,-0.01165580841767338,-0.00646503037683604,0.021160681391442802,-0.06350416206272634,-0.0654990323164088,0.037174213565609564,0.019538480257192344,0.04159125587781453,-0.06098040730871699,0.05759000889149949,0.04301994734478454,0.023622400483319605,-0.02614871664164474,-0.02888674885237705,-0.06546925610391009,-0.04049874883786138,0.030098396680819723,-0.03817361364373213,-0.008737326311666484,-0.03147384361222823,0.03572144633280977,-0.0666725500378478
ROIC %,-0.036982828328036524,-0.03628745086869958,0.017647865681533734,0.02117346592725545,-0.007983685669151093,0.004084342173952385,-0.1132151363828009,-0.11098298256520517,-0.01950123192907668,-0.02098774561734072,-0.03980276469628568,-0.03475010529594494,-0.036538791430732825,-0.008081030375109533,-0.019391159995035573,-0.014813202873091659,-0.0009319778225948113,-0.0035728922582511074,0.008106461838697777,-0.02204540916605163,0.00600072265958123,-0.0076053251504351925,-0.008803402948408985,0.00756928077835922,-0.011491571622648751,-0.0157750890081174,-0.00525432269243874,0.023140647102270956,0.02525435060969001,0.027262046272376755,-0.020121273362491476,-0.015454241361361023,0.010970517285130602,0.011533157461191117,0.00415100154595565,0.002081564703305478,-0.0107635580625846,-0.011782881876845105,-0.011527927751591357,-0.009338972573446392,0.016491918555359347,-0.024985112026743597,-0.025457609327589184,0.004281502803139653,-0.005098628257265191,0.012820094031243026,-0.05926833887167343,0.02008271142117321,0.00991086481146614,0.0062739437586651035,0.002312384911637483,0.004769205192890283,-0.06240940313748912,-0.03545836658026536,0.007653908649309911,-0.05569868958568859,-0.012767749845334858,0.0013630860708299369,-0.003884750808486419,-0.06516797142364301
WACC %,-0.007383384953966376,-0.006717309358325051,-0.009003362026701073,-0.008729543807392971,-0.027008718753306092,0.0007972014773959366,-0.11088465700220447,-0.10878736020675597,-0.0015238500364036373,0.009341026790024777,0.008487358557911454,0.0022797022306278,0.0016922218670797893,-0.024434675094217442,-0.002165648746440816,-0.0025408503435056075,-0.003102245853454895,-0.001133810096110805,0.01055191870265465,-0.022380667088503295,0.013164945167665488,-0.001059814464256621,-0.001169936789599861,0.016692239133539913,-0.01959856048417969,-0.03734629020157216,-0.004288921266551339,0.008954420106156758,-0.0034149841002222934,0.007502887284717155,-0.033877812326881605,-0.03748584656387595,-0.01701578926853873,-0.01488856972112151,0.025643896424814013,0.030924671318447935,-0.0021645142269379612,-0.013104291805448958,-0.00244509381565961,-0.003356131775938501,-0.0043700328885789615,0.00865023077091223,0.005803459761422505,0.003426993173817105,-0.010789346942197062,0.016044706096898138,-0.011759810756115922,-0.00944768588796266,-0.03373209677185608,0.009319317788360867,0.026351163948361827,0.02711108179228714,-0.0026390554052994905,-0.041273102448205715,-0.018700961114988715,-0.0575004316131126,-0.0035197182085109605,0.019133380266150368,-0.003578080925807234,-0.04646517556232818
Effective Interest Rate on Debt %,-0.00526821103986419,-0.0121592043764194,-0.0046209015713699455,0.09217337621182085,-0.003644729927590468,0.01982392172002868,-0.023649836834863793,-0.060481226757896474,0.009383049141915577,-0.006669127434496906,0.04270971977908092,-0.005178846136875252,-0.011704710395642904,0.02510899978170454,0.019766000779000256,0.0030413333596915424,0.006591388496636518,0.03193007904679006,0.006990105175171893,0.06309864793491586,0.037530545566215226,0.06673331964582072,0.013630030324720467,0.023796031551331535,-0.0229979915118318,0.016333865316396377,0.00988958587317064,0.039674828538167825,0.026589088664643983,0.034011451035198106,-0.004971058685114191,-0.025633822730059902,0.05891403351195903,0.06316107273180926,0.042118270724119534,0.041858851292297,0.008309886217292076,0.005448722740529874,0.006004520173951869,0.006083949329256365,0.008147436548232153,0.032621573489976276,0.024198719904819137,0.018246236120781346,0.012696819969407793,0.04570321366954387,0.048157766316472915,0.06828706791881112,0.056099627384857575,0.013477229157295004,0.028850233951962602,0.03082203291864431,0.1543896472125799,-0.05097671870928922,0.04366924645161264,0.022880626351603425,0.02800340077443587,0.008307472011729957,0.03434405030820327,0.035732998167961355
Gross Margin %,-0.012598511616942018,-0.023252457900213536,0.08779635234951821,0.1066907772205237,0.01580901548530414,0.03799293783494124,-0.00031776387900490964,-0.003881505444616845,-0.022511099993831177,-0.016237945656061695,-0.0032612299046106113,-0.0188549375116632,-0.024694542529397862,0.008652114676286637,0.01647453591845497,0.012276738942133786,0.032644944434793335,0.033458875032493264,0.03016921940175946,-0.0008522085217281268,0.054329721402012025,-0.011603518008008028,0.017263186367681572,0.07057566242879311,-0.0023706422087343367,-0.0023147312334402355,0.036484174156057876,0.06992095265277415,0.06498604685291107,0.018310505743321454,0.04460807298404787,-0.04696742522124896,0.11660911882320393,0.13157415693633542,0.009267831725438446,0.007147515972931605,0.007271544363090176,0.009246243084768232,0.009405492691751189,0.019509645001984283,0.035446398264610705,-0.016741170104538048,-0.029773617777001504,-0.002655783256531124,0.05954254538524877,0.048576178198415136,-0.019676673548399994,0.12026497505760086,0.11635391023130365,0.04273192214077936,0.003235049145368609,-0.0077806618602258674,-0.01966957325960047,0.012206831202620361,0.0737458821618381,-0.011591761216158226,0.014507774519152875,-0.00878264540275813,-0.01573491703906031,-0.017060986085358103
Operating Margin %,0.03099233531831373,0.015879406379530583,0.17259386717174233,0.1269751074988479,0.013832970350653484,0.06417826646603789,0.06877161963149925,0.052489162699153304,-0.026665838003884553,-0.030563073491300392,0.030697731547800713,0.029119589862785518,0.010719710104687386,0.04710510728314512,0.0022137630688397513,0.014142665211714174,0.041900992645136505,0.047917828182883274,0.04879330786734521,0.026382848392506392,0.07558146276309524,0.003904978051768911,0.017201975618411552,0.05295604342328864,-0.005547944397352755,0.010218409583628914,0.05362002131083708,0.07666928534791793,0.06071657259030028,0.015652337450048032,0.050597889996733855,-0.026486721376327446,0.16493932022133118,0.10626678184628924,0.003542997963179333,0.0028731431550273563,0.018391902137021483,0.01684696468789989,0.016347965387132866,0.01959317059038007,0.06236692713581464,0.0056810122036442656,-0.007293715609522213,0.018770640753370788,0.08426777814572652,0.07035945590844553,-0.012777906457548619,0.13716546383569564,0.09184701675572864,0.07394687290206799,0.02072179985839488,0.01909904366630186,-0.016321510069433706,0.03925818950885298,0.08445341010687132,-0.0075397403038259155,0.042161573795166454,0.012133984625986704,0.00849367221742069,-0.0133940591950991
Net Margin %,-0.01635348191308232,-0.006236108499400783,0.08248031936680834,0.09499722184702199,0.0037461841462360945,0.02953205550828141,-0.001772103019381496,0.0015077234739664146,-0.03965990909844899,-0.0273402605845698,-0.013448141108771327,-0.02471946539459569,-0.00985729155607543,0.011880837433656644,-0.0039992905783486805,0.008900693188687732,0.03559452368860031,0.03383590040616197,0.02830440327101576,0.0006020412499972427,0.05113405953495282,-0.006318057375273923,0.008975508996620276,0.05192049708089868,-0.010202437689167114,-0.01393130408754217,0.02820789667082632,0.052242577449521224,0.04964998051615544,0.014770270490367766,0.04849324899904367,-0.029129887168329305,0.11918551402319769,0.12904560379782065,0.007928082164795923,0.007283606648778707,0.0045448306101811805,0.01776360552709642,0.008439300510254686,0.019051256330519795,0.037542529706874286,-0.021598641310656398,-0.032575600471636657,0.009521486220358253,0.059346521055079766,0.05218763629073881,-0.018524076815992628,0.11791549053338267,0.11188236598099394,0.04373014377534629,-0.0037696935490030264,-0.013017076278100125,-0.0216964848257087,0.011394770062123766,0.07248346242319406,0.003951062580560891,0.03181700393582985,0.00044341038549655827,-0.010976598069579263,-0.019766712200632974
EBITDA Margin %,-0.012752027411403874,-0.024598246113394368,0.11316337173376699,0.10415346370036603,0.007825791122755577,0.033846106089917866,0.019361082501891735,0.015299777931833451,-0.027180791388574564,-0.020970842878481052,-0.013110012631936868,-0.01822840425133382,-0.023433581091170757,0.01066174765867595,-0.0011688141788120396,0.016980331316285197,0.0346729610131232,0.035068082785868364,0.03370636284823451,0.0007867077440114807,0.05509393321596056,-0.010071442981802372,0.007697729891023805,0.05409232406160278,-0.009873026688547785,-0.01326234488568686,0.03832294903679637,0.05429866854944807,0.052633197622546285,0.014499422826639161,0.04889183820901236,-0.013491421161428395,0.11648604413253472,0.13192739057313144,0.012669667779717767,0.012450861992107648,0.005225793286933732,0.016410502828278616,0.0160065902915196,0.01737862816061419,0.03784304349411145,-0.015860061958638,-0.028000095186775636,-0.0051650727409227135,0.04002432673376343,0.045481915891062055,-0.023165237464524507,0.12009236764338968,0.10953900898817899,0.04371912192396487,0.002343631816583297,-0.006185593712553653,-0.016307401311045844,0.01307387120097148,0.09014524073468819,0.002374502643959763,0.023946613373071156,0.0035418875401664364,-0.010318792930634,-0.015936226326427386
FCF Margin %,-0.015565486085299202,-0.03131449868936456,0.13096369682483935,0.0294475728167778,0.008210320077433327,0.004693292618060144,0.1343392811822226,0.10213773170957642,0.0029461813692908956,0.02328493275004336,0.011960069703284401,-0.0252589263688071,-0.03156846324565773,-0.01590574829023286,-0.022351342541019285,0.004450875867225381,0.029474937235155933,0.03187612632394221,0.0040484342369865554,0.024616755067243788,0.012758097779873448,-0.009456749114201166,0.010181717084444378,0.013511576675267553,-0.021858769602026897,0.0363379542134639,0.026927467346450833,0.01640192981169057,0.006472315074964787,0.045398124143656876,0.03957860205823474,-0.012056179848646091,0.03890664881148211,0.0473823967197934,0.022024160320873246,0.025998340224345252,-0.003693849547282853,0.005524039406631986,0.005524039406631986,0.015753073090206744,0.0382840317535935,0.026800421709323254,0.022802788158753345,-0.018564801388468694,0.0008610609002685258,-0.010278697399919906,0.048196882356809426,0.05333295240945671,0.03952892551190072,0.017683948826940153,0.022838416037900662,0.01029860905680768,0.028861582518625133,0.03870540119558518,0.015389724043545785,0.06861494651458955,0.04007970742457136,0.014991844105245213,0.002220244618409935,0.0338244471898218
Debt-to-Equity,0.0064006400069289374,0.013382510963868291,0.10044020005885856,0.16082031290555523,0.05646639100979455,0.040522511954884606,-0.01613937236105312,0.09265279262504551,0.007747220234603269,0.0020958606262956687,-0.010721234153131368,0.006719380870615703,0.01454336351185848,0.032411824536569954,0.008695493928118126,0.03840872540094053,0.0815027517994825,0.08276988143178923,0.07830230289574497,0.07042517268711855,0.01833266491109327,0.050038387174239855,0.010833666028360247,0.06911456311480103,0.015777743181112143,0.011856033713474053,0.03018537682551699,0.04063871354136417,0.05926733829855291,0.10911640979295945,0.08320382285955284,0.08304452562346873,0.09324473239271254,0.09028529641410352,-0.0016158360677760632,-0.009657591118833459,0.056517422447023666,0.012481301700449726,0.07328544799120074,0.07779371996463202,0.05995780349651399,-0.028113078428109457,-0.02985797335417377,0.09177641530902617,0.08260790015626816,0.06092598092992095,-0.060376520074890916,0.08187390834726829,0.11570689429882433,0.02825912232207265,0.051653901756079736,0.01581880836508716,0.015073918875930433,0.0339551680822514,0.06307764751955537,-0.04613266578477216,0.022839850816552897,0.007195262164713152,0.030207523000196853,-0.04528013771589093
Equity-to-Asset,0.010558889585726016,0.011659000187659287,0.12710525140824702,0.20849924738719788,0.0889695697504928,0.0761951284368631,0.050681279200479434,0.09770929677398052,0.005580347960442753,-0.004588745425627455,-0.021233974121693304,-0.0034755853941454556,0.006649925737600428,0.018098346315272885,0.06503037942788034,0.08823080267134585,0.058660237800453804,0.09522720358282301,0.11113936983713366,0.08691824804676203,0.16176512333241364,0.021531783243268408,0.09433325582573691,0.12930424736251953,0.105295940370899,0.08068586920435379,0.10714500576448631,0.08886252548176915,0.15882241392982557,0.14831937770439868,0.12012107617656144,0.08758958838393274,0.20704477609232383,0.17438405408086302,-0.00614387019978836,-0.01747260046141358,0.020962399399365412,0.018860086092383897,0.00600393623581404,0.11695842213613138,0.06050074639435148,0.04601696870704654,0.03185194171558915,0.01004896299430626,0.11104551124870365,0.10632479442966573,0.04719510225113726,0.2870188974782474,0.23327026778786336,0.1356491969027382,0.07015848752754315,-0.014276966956348308,0.0170215473906999,0.06017705550108634,0.153304331660916,0.008384898840837127,0.06758060194182519,0.008290493045641636,0.06582837655006185,-0.02935182024496942
Debt-to-Asset,0.0061891047916338895,0.009856799799740633,0.0966734755794083,0.1604607396216537,0.055111747414361464,0.03689848383096879,-0.01832107938168099,0.07698921267356947,0.014694926250762838,0.002726357865094879,-0.01185586282638653,0.0007917592353276536,0.004980440814999619,0.024643482603398055,0.06672905177411591,0.07514982258394212,0.07738807852876742,0.1123310935059021,0.08869752992298086,0.12830430495748124,0.06992086996390029,0.05996648957507469,0.0540044733957683,0.0903183468155723,0.013913410269557417,0.07329846004629528,0.03687147839841577,0.05345396744312351,0.11850014378249936,0.13189309448256956,0.09863501068934885,0.08476246083115813,0.06878465722659564,0.09072062642565557,-0.003605739884069506,0.012295627420232701,0.06475673166826526,0.02196484858557169,0.07905248353719295,0.0952589894718793,0.0667855101599329,-0.020691178643594252,-0.04663366337037117,0.07155414339269961,0.04547044650726879,0.042292648490948145,0.030061593537706228,0.22966761538245054,0.1303176739163258,0.05003166947901133,0.05569585466374854,0.049891572668962256,-0.023840198459534535,0.05558761985181265,0.06929442321561995,-0.0015414360754529705,0.02691389743316468,-0.006710722606944234,0.05236225207977207,-0.043199424611950955
Liabilities-to-Assets,0.05653587416050288,0.028417118408295593,0.2199255196885176,0.18570303064283006,0.09436539247042214,0.0843912909482119,0.12245389246759686,0.1182919530710327,0.0031714952242721797,0.009276686951783499,0.00894292681808661,0.06629553632167207,0.028638627639163385,0.05485892100825205,0.06556126513286713,0.09462845621940656,0.12715810110621129,0.12745739541778378,0.12017598856080774,0.1450670276055854,0.10516227217532866,0.07080090827933233,0.08325336892810734,0.17758175017464214,0.0480706281453807,0.14706918751221434,0.10878382008260042,0.12829986883937156,0.19639777803999037,0.15089820495305747,0.14546165304217212,0.08408410023528438,0.1741038729213391,0.1862211930647704,0.04101958383519663,-0.00454737274351453,0.07283729218753475,0.06592096534802541,0.058509594273205644,0.14577135400338564,0.08322033961267675,0.02219152188987501,0.024622009290518634,-0.00472554222615988,0.086612654547494,0.08286390556463154,0.06798126726542306,0.25883318343844114,0.2737046138586019,0.12740877121483835,0.13513269430987399,0.009155315739347553,-0.017261720799475334,0.06393969605633198,0.1404067227563712,-0.023031501329684956,0.10723655221602393,-0.001353197196962406,0.08137702604431267,-0.02796675343315904
